ID,CATEGORY,LINK,NAME ,DESCRIPTION,COMPANY,IMAGE
82,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-finance-executive-4776154?jobId=jobstreet-my-job-4776154&sectionRank=6&token=0~a15daf7f-1c20-4678-8110-757fe4ba0caa&fr=SRP%20Job%20Listing,Senior Finance Executive ,"Job Descriptions: Manage and oversee Malaysia Finance team & operations.Manage full set of accounts including Account Payable, Account Receivables, bank reconciliation and maintain fixed assets registers following professional and regulatory standard.To ensure timely and accurate month end and year end closing.Prepare and submit timely and accurate monthly financial analysis and management report.Prepare yearly budget and quarterly forecast and review actual performance.Responsible for company costing analysis and gross margin analysis for the Company.Manage risk, supervising cash flow management to ensure sufficient funds for operations.Ensure compliance with financial, statutory and regulatory legislations, policies and procedures and deadlines, including liaising with APAC Finance team, lawyer, external professional and government bodies on audit, tax, secretarial and any other finance issues.Review, enhance, streamline and monitor finance workflows and internal controls and processes to improve on efficiency and safeguard the assets of the Company.Provide leadership, guidance and development for members of the Finance team.Maintain proper documentations for Finance team and Company.",ALLSOME PLANET SDN. BHD,
83,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-cum-admin-executive-4806882?jobId=jobstreet-my-job-4806882&sectionRank=4&token=0~d82ae173-7c98-4d7b-9937-7270eb6aad5e&fr=SRP%20Job%20Listing,Account Cum Admin Executive ,"RESPONSIBILITIES:Perform monthly bank reconciliation, to investigate and resolve any reconciliation differences.Ensure petty cash transactions are properly recorded and monitored.Arrange annual auditing of accounting records and liaising with external auditor on all auditing issues.Prepare budget for tabling at Annual General Meeting.Close monthly accounts and table statement of accounts at every monthly meeting.Generate and print service charge, water charges and other invoices according to stipulated frequency.Received payment of monies from unit owners and to issue receipts and must bank-in into bank accounts within the stipulated time frame.Assume credit control action to recover outstanding invoices.Ensure that all liabilities are accrued in the books on a timely and organized basis.Process payments for expenses in accordance with approved procedures and agreed credit terms.Update the cash book and to monitor bank balances.Ensure that bank accounts are properly maintained and accounted for.Lending support to the Manager (in handling complaints and tenant liaison) as well as stock keeping and control and perform admin duties when required.",Paramount Premix Sdn Bhd,
84,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-assistant-accounts-payable-4777681?jobId=jobstreet-my-job-4777681&sectionRank=1&token=0~47f4c290-6d8c-4248-b53f-03efe72c3fd3&fr=SRP%20Job%20Listing,Accounts Assistant (Accounts Payable) ,"Responsibilities: Process accounts payable invoices, staff claims, credit cards, journal posting and month end activities.Process and update electronic and manual payments in the system as per the agreed schedules.Investigate and reverse non-successful payments.Perform vendor reconciliation and resolve queries related to statement of accounts, invoices and payments information on a timely basis.Handle critical queries and provide accurate information to key stakeholders, internal and external.Work cross functionally and ensure close co-ordination with other finance and non-finance functions to ensure smooth end to end operations.Identify process improvements in day to day work and suggest best practice initiatives.Perform back up functions and other duties as and when required.Participate in compliance audits and respond to audit queries on a timely manner as and when required.Compile data for SLA/ KPI reporting and data analysis.Ensure proper filing and maintenance of accounting records.Good exposure in banking facilities.Handle ad-hoc duties as assigned by the Team Lead or Superior from time to time.",NES Global Talent,
85,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-payable-specialist-4777005?jobId=jobstreet-my-job-4777005&sectionRank=1&token=0~39ebe73a-085a-428c-88b8-5cfa9e195d29&fr=SRP%20Job%20Listing,Accounts Payable Specialist ,"Responsibilities:• Provide Accounts Payable transaction processing support to deliver Accounts Payable services in accordance with established processes, work procedures, SOX requirements and local company legal and statutory requirements.• Ensure that timelines and quality meet the agreed service levels and targets.• Ad hoc tasks as required by Team Lead or Manager.• Participate in process improvement projects or exercises.",Jabil Sdn Bhd (Global Business Center),
86,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accounts-officer-4779024?jobId=jobstreet-my-job-4779024&sectionRank=1&token=0~9943a64c-74fb-43ce-8d66-39d6cd2e2347&fr=SRP%20Job%20Listing,Senior Accounts Officer ,RESPONSIBILITIES: 1.Update and compilation of costing data.2.Perform audit on costing data obtained.3.Coordinate monthly physical stock count and compilation of stock take data.4.Compilation and preparation of yield and salvage report.5.Update fixed assets register and tagging of fixed assets.,QDOS Flexcircuits Sdn. Bhd.,
87,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-manager-4776122?jobId=jobstreet-my-job-4776122&sectionRank=4&token=0~f11e91ea-30b7-4193-afc8-494fd397c55e&fr=SRP%20Job%20Listing,Accounts Executive ,"Job Responsibilities:Prepares and checks invoices and statement of account.Assists in credit control.Handles customers' feedbacks and dispute.Reconciliation and analysis of aged items.Reviews and analyzes customers, suppliers and stocks aging reports.Prepare and control payment.Handles banking matters, including bank reconciliation.Prepare and monitor daily cash flow positionAble to handle Full Set of Accounts independently.Prepare timely and accurate accounts, forecast and weekly management reports.Maintain proper record keeping and organized filing system.Prepare tax computation and submission.Liaise with Auditors and/or Tax AgentAd hoc tasks assigned by superior and/or the Management as and when needed.",Vanli Auto Spares Sdn Bhd,
88,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4776845?jobId=jobstreet-my-job-4776845&sectionRank=1&token=0~ac3c0fc9-5112-4e27-b778-6da37d5e90a5&fr=SRP%20Job%20Listing,Account Executive,"Job Description: 1. To monitor and analyse monthly utilities bills (electricity, water & telephone) to ensure the efficiency of the utilities.2. To monitor the validity of the Company registration vehicle and licenses are renew in timely manner in order to comply with statutory requirement.3. To manage and monitor all office supplies ordering and usage including stationary, printings, cleaning tools and consumable effectively. To ensure the expenses is within the budget.4. To monitor and ensure the accuracy the accounting task (such as petty cash disbursements and reimbursement, issuance of cheques) and the timely monthly closing of the accounts and preparation of relevant reports.5. To prepare payments to vendors and claim (process payment, prepare invoice, payment voucher, receipts and cheques)6. To ensure the maintenance of general documentation and filing system and practices for easy retrieval and references. 7. Any other duties and ad-hoc tasks as and when assigned from time to time by the Management.",Hercules Engineering (SEA) Sdn Bhd,
89,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-assistant-4777730?jobId=jobstreet-my-job-4777730&sectionRank=1&token=0~8d32155c-384e-4bdb-9a10-5280d7a5db45&fr=SRP%20Job%20Listing,Account Assistant,"JOB SCOPE AND DUTIES: Prepare full sets of accounts, handling & monitoring on account payable and account receivable & collection.Responsible for daily accounting duties and ensuring accounting records and systems comply with the Company's policies, accounting standard procedures and related statutory and tax requirements.Ensure timely completion and submission to management.To perform proper records, tracking, update documents etcSupport in month end close procedure with timely and accurate recording.Compute taxes owed, prepare tax returns and ensure prompt payment.Any other accounting duties assigned by the management from time to time.",GST FINE FOODS SDN BHD,
90,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accountant-accountant-4807250?jobId=jobstreet-my-job-4807250&sectionRank=6&token=0~63ea73a2-0aa5-460d-a7ab-aa401495c0e9&fr=SRP%20Job%20Listing,Senior Accountant/Accountant,"Job Description: Handling and update monthly sales and maintenance renewal sales amount and reports.Responsible in customer maintenance support contract reminder and renewal and administration including daily data entries.Liaise with corporate customers in submission of proposal, quotation, tender, process customer PO ensure prompt delivery of company IT networking solution to customer.Digital marketing, sending out periodic digital content of product to customers.Ensure all the financial transactions are properly coded and recorded.Assist in SST transactions and submission reportAny other duties that may be given by superior from time to time, ie prepare sales quotation, oversee day to day operation in Administration Department",Acc Pro (Malaysia) PLT,
91,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4776427?jobId=jobstreet-my-job-4776427&sectionRank=1&token=0~4c9352a9-9dc1-4d9e-b97f-9bb738ca47ad&fr=SRP%20Job%20Listing,Account Executive,"DUTIES & RESPONSIBILITIES: Perform daily sales taking and collection.Prepare monthly bank reconciliation, journal, income statement, balance sheet schedule, financial analysis and tax estimation for review.Handle fixed assets, update monthly depreciation and ensure tagging for each fixed asset.Monitor bank balances and ensure sufficient fund to meet the daily operations requirement.Prepare cash flow projections for review.Verify invoices from supplier and process staff and director claim.Ensure timely and accurate processing of invoices and prompt payment within credit terms.Handle vendor statement reconciliation and enquiries.Ensure the transactions are entered into stock module in DAS systems on timely and ensure accuracy of data.Assist in monthly stock taking and daily cash counting activities.Ensure all accounts and transactions are keyed into the system on a timely manner and accurately.Ensure all documents are properly archived. he documents are.Ensure all the procedures are compliant to the company's policy and SOP.",ALPHA INTERNATIONAL WOMEN'S SPECIALISTS SDN BHD,
92,Accounting and Finance,https://www.jobstreet.com.my/en/job/accounts-assistant-4776658?jobId=jobstreet-my-job-4776658&sectionRank=3&token=0~e992d4aa-f0bf-4f0d-b4fd-a24b722d4bf6&fr=SRP%20Job%20Listing,Accounts Assistant ,Description : Responsible for preparing full set of accounts.Responsible for preparing payment to suppliers.Preparation of monthly bank reconciliation statement.Responsible for management of petty cash.Handling daily receipts precessing function.Updating of daily Cash Book and weekly Cash Flow Report.Other ad-hoc duties as assigned.,Sin Heap Lee Group of Companies,
93,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-admin-4778535?jobId=jobstreet-my-job-4778535&sectionRank=1&token=0~e323f7e5-cd21-445a-8a76-76c73775ea3f&fr=SRP%20Job%20Listing,Account/Admin ,"Job Responsibilities :Handle full set of accounts – Accounts Receivable, Account Payable, Journals, Cash Book & bank reconciliation.Prepare online banking transactions.Ensure timely and accurate processing of invoices and prompt payment within credit terms.Monitor bank balances and ensure sufficient fund to meet the daily operations requirement.Ensure all accounts and transactions are keyed into the system on a timely manner and accurately.Prepare and ensure timely submission of Monthly Management reports and supporting schedules.Assist on credit controls & procurement with documentation.Liaison with bankers, auditors, advisors and other regulatory bodies for relevant work requirements and compliance.Ensure accuracy, completeness, work independently and as a teamAny other duties associated with your position when necessary.",TRAX SOLUTIONS SDN BHD,
94,Accounting and Finance,https://www.jobstreet.com.my/en/job/finance-operation-assistant-4778612?jobId=jobstreet-my-job-4778612&sectionRank=1&token=0~2b4fa47a-2ded-43e5-bfc0-1e193760af07&fr=SRP%20Job%20Listing,Finance Operation Assistant,"Job Description:1. To assist billing system maintenance and update from time to time.2. Responsible for periodic dealers billing in timely and accurate manner.3. Ensure on time payment from dealers, payment application and overall receivables position.4. Reconcile Account Billings booked against E-commerce platform to ensure no discrepancies5. Investigate and resolve Dealers issues raised vis e-ticket system timely basis.6. Liaising with IT system personnel on any billing system related issues.7. Attend to Dealers queries and provide feedback and resolutions.8. Generate periodic sales and commission reporting to help business review and improvement.9. Support Month End Closing activities to ensure accurate sales and related expenses being accounted10",Wellous Sdn Bhd,
95,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4776220?jobId=jobstreet-my-job-4776220&sectionRank=1&token=0~d2b1e62a-793b-4838-8dcb-8812c1009458&fr=SRP%20Job%20Listing,Account Executive ,"Responsibilities:To perform accounting for assigned clients on monthly, quarterly and yearly basic.To prepare tax computation and perform submission for personal tax clients.To perform SST submission for assigned clients.Other task assigned by management",L & Co PLT,
96,Accounting and Finance,https://www.jobstreet.com.my/en/job/executive-finance-penang-4777608?jobId=jobstreet-my-job-4777608&sectionRank=1&token=0~8ec47408-1a2e-404f-a117-dee05742ce96&fr=SRP%20Job%20Listing,"Executive, Finance (Penang) ","Job Description: Perform bank reconciliation, inter-co transactions and general accounting tasks.Prepare monthly management report, finance review, daily & monthly cash flow report and other financialreporting as required by management.Preparation of audit schedules & support in audit queries.Perform other general accounting tasks that assigned by superior.Perform other ad-hoc tasks as assigned by superior.",S P Setia Berhad,
97,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-executive-assistant-manager-finance-credit-control-4779633?jobId=jobstreet-my-job-4779633&sectionRank=1&token=0~479179fa-0717-4545-8b4a-7c7239a9f468&fr=SRP%20Job%20Listing,"Senior Executive, Assistant Manager – Finance (Credit Control) ","Job Description: Manage the credit control/collections of ageing debt of the Mall tenants.Develop clear understanding about sales/ turnover for shopping mall tenants.Collect tenants’ sales reports in timely manner for management reporting.Conduct research and analysis on the sales data provided by tenants to address the performance gaps and understand the current market and competitive environment.To analyze sales and explore improvement opportunities, keep track on monthly sales, conversion rate, turnover rate, rent to sales ratio, and marketing inputs conversion to sales and traffic.Generate monthly credit reports, statement of accounts and reminders for overdue accounts.Monitor closely overdue accounts and follow up on collections.Timely and effective collection of all debts and customer payments.Resolve customer and Business Teams queries on a timely basis.Highlight problematic customers to management.Ensure workflow, procedures and processes of Credit Control Department are adhered at all times.Perform any other duties assigned from time to time.",Tropicana Corporation Berhad,
98,Accounting and Finance,https://www.jobstreet.com.my/en/job/senior-accounts-cum-procurement-officer-4769364?jobId=jobstreet-my-job-4769364&sectionRank=1&token=0~63411757-148b-4995-ac32-d56dda02f9b5&fr=SRP%20Job%20Listing,Senior Accounts cum Procurement Officer ,"Account Management:Responsible for the full spectrum of accounting functions.Work closely, provide guidance and advice to account & finance team.Assist and ensure timely & accurate monthly account closing.Ensure records properly updated and reconciled in system.Liaise with auditor/company secretary/tax authorities on all tax related matters.Provide support and assist in troubleshooting issues & other matter related to accounting, finance and banking.Working closely with billing and accounting staff to ensure timely collection of payment.Monitoring customer payment history closely.Perform other ad-hoc duties as assigned.Implement SAPB1 migration from UBS.Accurately complete and review audit engagements in a manner that meets. professional technical requirements.",Kian Hon Tyres Sdn. Bhd. (Maxxis Tyres),
99,Accounting and Finance,https://www.jobstreet.com.my/en/job/audit-assistant-manager-9057498/origin/sg?jobId=jobstreet-sg-job-9057498&sectionRank=2&token=0~795e5659-5c1c-4e41-90cb-e420ac431ef2&fr=SRP%20Job%20Listing,Audit Assistant Manager,"Job Description:We are looking for a highly motivated individual with proven track records of Audit experience. The Audit Assistant/Senior will be responsible for day-to-day auditing duties.Duties and Responsibilities:Conduct of an audit and other assurance engagements and responsible for undertaking audits procedures which involve pre-audit scoping and preparation, identifying audit risks and performing preliminary evaluation of client’s internal control structure to identify weaknesses and areas for management consideration and improvement.Execute and complete allocated audit tasks with high standard which meet financial reporting and auditing standards and be within deadline.Preparation/ Review of financial statements in accordance with provisions of Singapore Companies Act, Cap. 50 and Singapore Financial Reporting Standards. Review other management reports to develop understanding and increase knowledge of various entities and accounting issues.Builds confidence in dealing with clients and knowledge of more in depth tasks, developing the ability to take on more complex engagements and builds relationships to ensure client retention and growth.Ability to coach staff effectively during fieldwork for Audit Senior.",Cypress Singapore PAC,
100,Accounting and Finance,https://www.jobstreet.com.my/en/job/account-executive-4775967?jobId=jobstreet-my-job-4775967&sectionRank=1&token=0~5a847c46-cabb-4f53-b85c-413bed6ce7cc&fr=SRP%20Job%20Listing,Account Executive ,"Job Description: Responsible for the timely and accurate month-end closing activities which include posting of journal entries, preparation of management accounts, schedules, reconciliations, and any other deliverables required for reporting purposes.Preparation of year-end statutory financial statements and audit schedules.Day-to-day operational activities including invoicing & collections and managing of accounts payable.Perform proper cost allocation and variance analysis on the balance sheet and income statement for business review purposes.Ensure accounting and internal control procedures comply with company policies and the relevant accounting standards.Manage tax compliance, including corporate income tax, deferred tax, withholding tax, SST, tax returns, and others.Assist in the monitoring and tracking of the annual budget and costing.Responsible for liaising with internal stakeholders and external parties including banks, auditors, and tax agents, and managing regulatory and compliance submissions.Undertake process improvement and digitalization initiatives, and proactively identify opportunities for process standardization and alignment in a consistent manner across the various functions.Undertake any other ad hoc duties or projects as assigned.",Mahanakhon (Malaysia) Sdn Bhd,
101,Healthcare,https://www.jobstreet.com.my/en/job/medical-assistant-4804263?jobId=jobstreet-my-job-4804263&sectionRank=1&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Medical Assistant,"Job Description: Top Glove is embarking into a world of possibilities with a clear purpose to inspire our employees. We encourage consistent application of innovation and creativity, whether you are based in Malaysia or abroad, we find ways to break through the ordinary at the same time preserve our Corporate Value (R.I.V.E.R), overcome challenges and being proactive are our integral fundamentals in UNITING each and every Top Glovers. This is YOUR chance! As we are embarking into a journey to be listed in Global Fortune 500 employer in year 2030, we need more talent like you to join us.Shape YOUR future with Top Glove, The World Largest Manufacturer of Gloves. Your Mission:01) Clean and prepare examination rooms prior to patient appointments.02) Record patient information such as vital signs, weight and changes in medical history prior to each appointment.03) Assist doctor in procedures.04) Attend to patient’s enquiries and answering incoming calls.05) Manage patients’ registrations and schedule patients’ appointments.06) Responding quickly to emergency calls involving accidents, disasters or medical emergencies.07) Quickly assessing a patient’s medical condition and taking a course of action.08) Using procedures and guidelines given them by physicians who oversee their work.09) Helping transport patients to medical facilities, a task that may involve using backboards and restraints to keep a patient still.10) Maintaining supplies and equipment for medical emergencies by daily checklist.11) Clinic administrative work.12) Shall take additional responsibility as instructed by the immediate Superior.",Top Glove Corporation Berhad,
102,Healthcare,https://www.jobstreet.com.my/en/job/medical-assistant-4790804?jobId=jobstreet-my-job-4790804&sectionRank=2&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Medical Assistant,"Job scope:Examine , diagnose and treat basic patient complaints.Respond to medical emergency.Perform procedure relevant and in relation to the job scope of a medical assistant with includes and is not limited to specimen collection, medication administration, wound care and etc.Perform certain administrative task relevant to be performed by a medical professional.Other task deemed necessary by the management relevant to the field of work.",Dr Solutions Medic PLT,
103,Healthcare,https://www.jobstreet.com.my/en/job/healthcare-associate-ppv-centre-4797873?jobId=jobstreet-my-job-4797873&sectionRank=3&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Healthcare Associate (PPV Centre),"Job Description:Support and provide assistance to the Vaccination operation.Administration duties.Assist in filling up form , verification of information with patient.Facilitate smooth flow for vaccination.Assist Doctor or Nurse in observation area.Provide consent and explanation.",Union Medic Group of Clinics,
104,Healthcare,https://www.jobstreet.com.my/en/job/healthcare-assistants-work-location%3A-singapore-9197981/origin/sg?jobId=jobstreet-sg-job-9197981&sectionRank=4&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Healthcare Assistants (Work Location: Singapore),"Responsibilities:Assist with day-to-day activities and personal hygiene care tasks such as meal/nasogastric tube feeding, bathing, light housekeeping, light meal preparation, and running of simple errands.Assist client with medication administration.Perform and monitor basic vital signs such as temperature taking, blood pressure, hypocount monitoring and charting.Assist in lifting, transferring, and positioning of clientAccompany client for their medical appointments.Maintain cleanliness and tidiness of client’s environment.Conduct daily exercises for client as prescribed by a registered therapist.",Alliance Healthcare Group Limited,
105,Healthcare,https://www.jobstreet.com.my/en/job/dental-clinic-supervisor-4799107?jobId=jobstreet-my-job-4799107&sectionRank=5&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Dental Clinic Supervisor,"Job Description:1. Ensure clinic operations run smoothly and aligned with SOP2. Design and arrange operations staff schedule3. Design and provide training as well as reviewing and monitoring staff performance4. Review daily operations report and ensure information are accurate and complete.5. Conduct frequent meetings with operations team to update issues, complaints, suggestions and the next steps.6. Analyse current issues, provide insights and advices and assist team in decision making.7. Highlight feedbacks from operations team involving customers and internal departments for discussion and required actions.8. Monitor stock flow and ensure stock PIC updates stock report following guidelines. ",Klinik Pergigian Redha Sdn Bhd,
106,Healthcare,https://www.jobstreet.com.my/en/job/provisionally-registered-pharmacist-prp-4797889?jobId=jobstreet-my-job-4797889&sectionRank=6&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Provisionally Registered Pharmacist (PRP),"Job Description:Providing medical counseling to customers based on their medical conditions.Performing health screenings including customer's blood pressure and blood sugar level.Providing relevant health advice according to individual needs to encourage success in achieving a healthy lifestyle.Provide excellent customer service and product knowledge assistance.Ensure standards for quality, customer service and health and safety are met.",AM PM PHARMACY SDN. BHD.,
107,Healthcare,https://www.jobstreet.com.my/en/job/clinic-assistants-senior-clinic-assistants-work-location%3A-singapore-9197773/origin/sg?jobId=jobstreet-sg-job-9197773&sectionRank=7&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Clinic Assistants / Senior Clinic Assistants (Work Location: Singapore),Responsibilities: Perform daily operational duties at outpatient clinic.Register patients and provide frontline customer service.Process prescription accurately and dispensing of medication to patients.Process of billing transactions under different government schemes and managed care programmes.Manage inventory and replenish of medicines and consumable items.Operate Clinic Management System.Assist with other adhoc duties assigned by clinic’s supervisor.,Alliance Healthcare Group Limited,
108,Healthcare,https://www.jobstreet.com.my/en/job/medical-doctor-4790818?jobId=jobstreet-my-job-4790818&sectionRank=8&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Medical Doctor,"Roles & Responsibilities:-         Manage primary care cases (resuscitation, emergency cases, common acute illnesses, chronic diseases, vaccination, preventive health counselling, IV cannular insertion, blood taking, etc).-         Manage PPV for Covid-19 booster as part of the national initiative.-         Onsite Covid-19 testing (antigen RTK and RT-PCR).-         Travel to our panel hotels to serve corporate clients within Langkawi.",Reliable Healthcare Sdn. Bhd./ R Clinic,
109,Healthcare,https://www.jobstreet.com.my/en/job/nurse-personal-assistant-4796964?jobId=jobstreet-my-job-4796964&sectionRank=9&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,NURSE/PERSONAL ASSISTANT,"Responsibilities: To assist doctor in the Specialist Clinic & Operation Theatre.To perform other duties as and when required. To handle documents patient care services by charting in patient and department records. To contribute to team effort by accomplishing related results as needed.To execute all nursing initiatives and practices established as part of patient care and service standard.To assist the doctor in daily consultations and assist/perform basic clinical procedures.Attend to patients needs, queries, registration, dispensing medication, billing, managing records/data and patient education.Managing calls and appointments. Follow-up and monitor patient’s condition, ie feedback and improvements.All other healthcare management and administrative matters. Stock count and medication orders/billing.Handle patients with professional care, build rapport with patients, maintain good public relation with patients, family and staffs.",Health Junction,
110,Healthcare,https://www.jobstreet.com.my/en/job/staff-nurse-9am-to-5pm-4789534?jobId=jobstreet-my-job-4789534&sectionRank=10&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Staff Nurse (9am to 5pm),"Job Description:To provide efficient and effective nursing care.Provide accurate information to patients undergoing fertility treatments as directed by the Specialist.Assist in IVF procedures (Eg: Egg collection, IUI, embryo transfer, testicular sperm aspiration).Assist the Lead Nurse in ensuring smooth operations of the fertility clinic.Must be able to administer intramuscular injections and perform phlebotomy.On the job training is provided.",KL Fertility & Gynaecology Centre,
111,Healthcare,https://www.jobstreet.com.my/en/job/pharmacy-technician-inpatient-a-e-outpatient-id%3A-509032-9196869/origin/sg?jobId=jobstreet-sg-job-9196869&sectionRank=11&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Pharmacy Technician (Inpatient/A&E/Outpatient) (ID: 509032),"Job Responsibilities: • Assist pharmacist in prescription such as dispense of medication• Provide medication counselling to patients• Handle simple prescription interventions and inventory control• Involve in laboratory work in preparation, sterile compounding and packaging of pharmacy products (depends on allocated section)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),
112,Healthcare,https://www.jobstreet.com.my/en/job/dental-technician-9171516/origin/sg?jobId=jobstreet-sg-job-9171516&sectionRank=12&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Dental Technician,"Job description:Read specifications, prescriptions and examine impressions or models to determine the design of dental products to be developed.Fabricate, repair, or alter dental devices like crowns, inlays, dentures, bridges or appliances for straightening teeth.Test appliance to be sure they confirm to accuracy and specifications of occlusion.Create a model of patient’s mouth.Replace or rebuild wire sections, linings, or missing teeth to repair dentures.",T32 Dental Centre Pte Ltd,
113,Healthcare,https://www.jobstreet.com.my/en/job/aesthetic-nurse-4802079?jobId=jobstreet-my-job-4802079&sectionRank=13&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,AESTHETIC NURSE,"Requirement: -Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Nursing or equivalent. with 5 Year(s) of working experience.Preferably Senior Executive specialized in Healthcare - Nurse/Medical Support & Assistant or equivalent.Good command in English/ Bahasa MelayuBasic computer skills (Word, Excel), medically fit.Self-motivated and able to assist Doctor with minimum supervision.",La Jung Sdn Bhd,
114,Healthcare,https://www.jobstreet.com.my/en/job/branch-manager-pharmacist-based-in-johor-4792749?jobId=jobstreet-my-job-4792749&sectionRank=15&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,BRANCH MANAGER (PHARMACIST)-BASED IN JOHOR,"Job Description:Order Processing Cycle: To manage and involve in day to day operations of CRM and FG Warehouse with the aim to process customer orders in SAP, perform picking, packing till completion of shipmen meeting set On Time In Full (OTIF) target Inventory Management: To plan and maintain sufficient inventory level for all products by coordinating with HQ warehouses and perform quarterly stock take. Finance: To assist in preparing annual budget for OPEX &amp; CAPEX and monitor actual vs budget. To monitor collection on account receivable and update accurately and on a timely basis in accounts.Staff Management: Responsible for training, recruitment and general welfare of staff at depots.Compliance: Provide direction, leadership and setting milestone to ensure compliance and adherence to current regulatory requirement (GMP, GDP, EU &amp; ISO) and keep abreast with current development.Responsible to ensure all audits by both state and federal enforcement pharmacy goes smoothly especially involving psychotropic and controlled items where the practice should be in accordance to Poison Act 1952 and Dangerous Drug Act 1952.Warehouse Purchasing: Responsible for evaluating and choosing the best price at the right quality for all CAPEX and OPEX expenditure for operational requirement.Vendor/Transporter Management: Constantly review vendor performances by setting KPIs and regular meetings to ensure market competitiveness of their product and services. Initiate negotiation whenever necessary in terms of service and cost, based on market competitiveness. Responsible for the continuation of premise rental/vendor agreement.Continuous Improvement Programs: To evaluate, recommend and implement new procedures in supply chain related internal processes.",Duopharma Biotech Bhd Group of Companies.,
115,Healthcare,https://www.jobstreet.com.my/en/job/clinical-associate-9218559/origin/sg?jobId=jobstreet-sg-job-9218559&sectionRank=16&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Clinical Associate,"Job Description:The position of a Clinical Associate entails provision of comprehensive patient care in your chosen discipline of practice, under the supervision of Specialist doctors. You are a key member of the team, where you will gain strong clinical experience as well as maximize your potential. You will take on any other responsibilities assigned by your reporting officer. You will work alongside nursing, allied health and pharmacist colleagues in a team-based environment to provide holistic patient care. In addition to your core clinical duties, you will also be provided mentorship and support to develop any interests in Education, Research and Health Administration.",Oxley Management Consultants Pte Ltd,
116,Healthcare,https://www.jobstreet.com.my/en/job/medical-assistant-4805074?jobId=jobstreet-my-job-4805074&sectionRank=17&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Medical Assistant,"Job scope: Examine, diagnose and treat basic patient complaints.Respond to medical emergency.Perform procedure relevant and in relation to the job scope of a medical assistant with includes and is not limited to specimen collection, IV cannular insertion, IM injection, medication administration, wound care and etc.Perform nasopharyngeal swab testPerform certain administrative task relevant to be performed by a medical professional.Other task deemed necessary by the management relevant to the field of work.",Reliable Healthcare Sdn. Bhd./ R Clinic,
117,Healthcare,https://www.jobstreet.com.my/en/job/regulatory-affairs-manager-apac-region-4806827?jobId=jobstreet-my-job-4806827&sectionRank=19&token=0~d063e4a6-2432-4b65-b1f0-287f308393a7&fr=SRP%20Job%20Listing,Regulatory Affairs Manager - APAC Region,"Your Challenges:Reporting to the RA Head of Department, you will be leading and driving the Product Safety strategies to achieve targeted business objectives. On top of the local authority’s compliance management, you will be expected to support regional business teams in securing permits in ensuring compliance with relevant regulations.You will be part of the leadership team in driving the company’s goal to be compliant to all regulations – Prescribed Medications This role requires a regional manager with high spirits of leadership to lead and groom the existing team to a greater height of improvements and growths.",Agensi Pekerjaan Adecco Personnel Sdn Bhd,
